,,Count (#nofilter),Count (excl xpac),"Count (excl xpac, 1990–2024)","Count (excl xpac, 1990–2024, language:en)"
CLIMATE,General climate change,2955299,2164854,1894312,1804889
CLIMATE,Greenhouse gasses,48989782,32004154,25549618,17049173
CLIMATE,Climate variability,13947823,8928949,7361134,7046173
CLIMATE,Complex climate indices,3296112,2333699,1990119,1879626
CLIMATE,Fossil fuels,3600757,2851910,2392758,2247246
CLIMATE,Climate forcers production,22627152,15867117,13575173,12581211
CLIMATE,Mitigation,7675094,5634856,4584038,4356372
HEALTH,General health terms,25456789,20776348,17423604,16263290
HEALTH,General health outcomes,25265172,21118535,17958330,17026391
HEALTH,Nutrition/food quality,9621834,6573399,5639093,3778007
HEALTH,Cardio-vascular,5438728,4752081,4041244,3816894
HEALTH,Renal health,11008164,9527021,8017270,7616952
HEALTH,Effects of temperature extremes,2372675,2036482,1680485,1608514
HEALTH,Maternal health outcomes,3691251,3146176,2576920,2431461
HEALTH,Vector-borne diseases,2506539,1927450,1650298,1549825
HEALTH,"Bacterial, parasitic and viral infections",7390682,5965116,4913921,4573134
HEALTH,Air quality and allergens,687295,524850,434796,409355
HEALTH,Respiratory outcomes,3576077,3124206,2556113,2447364
HEALTH,Mental health outcomes,11189435,9382822,7857807,7232675
HEALTH,Water quality and quantity,801234,651513,565219,534386
HEALTH,Social factors and vulnerability,18650372,15174300,13042553,12156224
HEALTH,Adaptation or mitigation,4719426,3761796,3186608,2941687
ADAPTATION,Adaptation,179816,139293,110459,106053
MERGED,CLIMATE,84933675,55980913,45392456,35793804
MERGED,HEALTH,82223996,65887606,54716517,49449990
MERGED,ADAPTATION,179816,139293,110459,106053
MERGED,(CLIMATE AND HEALTH) OR ADAPTATION,20042692,15619420,13517449,11685338
